,ABV,Beer Name,Beer Style,Brewery Name,name,creditCard,email,purchase,saleType,date
302,6.0,CHEW CHEW,Salted caramel milk stout,FALLEN,Williams LLC,341444736550557,alarson@yahoo.com,93.32,bottles or cans,2019-04-24
303,5.4,GRAPEVINE,"New World pale, big tropical and citrus fruit flavours",FALLEN,"Hughes, Smith and Gray",4302574097168141,adam05@yahoo.com,28.62,draught,2019-01-11
304,4.0,JUST THE TICKET,Pale hoppy beer using NZ and USA hops,FALLEN,"Cabrera, Weber and Castro",30127603981403,michellepetersen@brown.com,97.17,bottles or cans,2019-02-27
305,3.8,DANKASHIRE HOT POT,Session IPA,FALLEN ACORN,"Norton, Johnson and Chavez",4515863076835,jrodriguez@shaw.net,90.68,bottles or cans,2019-02-28
306,4.4,POT KETTLE,Powerful porter with coffee and chocolate notes,FALLEN ACORN,Hawkins-Bryant,3088752906128926,louisdelgado@hotmail.com,17.38,bottles or cans,2019-04-11
307,3.9,HAYBOB,"Session bitter, well balanced with hint of caramel",FARM YARD ALES,Wilson-Delgado,3337632681483499,hhendricks@smith.biz,30.51,bottles or cans,2019-03-29
308,4.0,PALE PIGLET,Pale ale with Topaz hops,FARM YARD ALES,Hobbs-Bryant,6011880768306978,christopherchen@hotmail.com,43.22,draught,2019-04-13
309,6.4,OATMEAL HAZE IPA,Cryo hopped IPA,FARMAGEDDON,Bauer-Clark,5492229288546368,jonathan33@yahoo.com,35.73,bottles or cans,2019-02-06
310,4.2,GOLD PALE ALE,Golden pale ale well hopped,FARMAGEDDON,Rivera-Young,4921224483544452,melinda28@gmail.com,61.0,draught,2019-01-26
311,5.5,IPA,"Big, hoppy American IPA, using hops from the Pacific Northwest",FARMAGEDDON,Adams Group,676150170634,reginagonzales@hotmail.com,46.91,bottles or cans,2019-03-01
312,6.3,MOSAIC IPA,Mosaic hopped IPA,FARMAGEDDON,Webb-Lopez,4041590763007500,erin10@lopez.com,92.77,draught,2019-03-17
313,6.4,OATMEAL IPA,Oatmeal IPA,FARMAGEDDON,Mason-Clark,30454654073397,connienewman@mccormick-kirby.com,18.64,bottles or cans,2019-04-11
314,4.7,CARVER DOONE,"Strong Exmoor Porter, roasted and chocolate malts",FAT BELLY,Bruce-Donovan,373451905019638,hwright@sellers.com,36.14,bottles or cans,2019-02-11
315,4.5,CRAFTY,Hoppy pale ale,FAT BELLY,Cannon-Mcdaniel,4215945651840828,johnsmith@smith.net,28.76,bottles or cans,2019-04-05
316,3.7,GUZZLER,Traditionally British beer made on the North Devon Coast,FAT BELLY,Garner-Wallace,4713195517028,cookamanda@gmail.com,76.49,draught,2019-03-11
317,4.7,SLIPPERY HITCH,A rye beer,FERRY ALES (F.A.B.),Brown-Carr,30109083564362,ksexton@yahoo.com,79.93,bottles or cans,2019-01-03
318,4.3,LINCOLN LAGER," Bohemian Pilsner style lager,  crisp with complex flavours ",FERRY ALES (F.A.B.),Mason-Mccormick,30324839325733,lschmidt@hotmail.com,30.18,draught,2019-01-26
319,4.1,ARHWOOOO,NA,FERRY ALES (F.A.B.),"Mccarthy, Oconnor and Anderson",5316871069532754,justingriffith@hotmail.com,81.06,bottles or cans,2019-04-09
320,4.9,SMOKEY JOE PORTER,"Classic Porter with a hint of smokiness,",FERRY ALES (F.A.B.),Riley-Evans,3158941621398592,frankorr@yahoo.com,7.0,draught,2019-01-26
321,4.0,WODEWOSE RED IPA,"Red IPA, light red in colour, mild caramel, malt & citrus flavours",FERRY ALES (F.A.B.),"Robinson, Williams and Mendoza",180025290215234,lross@hawkins-green.net,66.82,draught,2019-01-14
322,4.5,3 BRIDGES,Hoppy IPA – Strong on citrus flavours and aroma,FERRY BREWERY (Scotland),James-Graham,3337077127135388,qshannon@york-atkins.com,79.63,bottles or cans,2019-02-28
323,4.0,SMOKEY JACK,Gingery brown coloured ale with smoked flavours ,FERRY BREWERY (Scotland),Sandoval and Sons,639069243694,clarkrobert@hotmail.com,92.69,bottles or cans,2019-04-04
324,3.8,FERRY GRAPEFRUIT,Pale Ale with US and British hops & pink grapefruit flavour,FERRY BREWERY (Scotland),Cooper-Torres,344671519411436,maryroy@yahoo.com,83.39,bottles or cans,2019-02-14
325,8.0,WORLD GONE MAD,Strong bitter citrus dark Ale,FERRY BREWERY (Scotland),"Hunter, Meyers and Walters",3096241364986975,whill@green.com,38.45,draught,2019-01-29
326,4.0,LANGPORT BITTER,Traditional English amber bitter,FINE TUNED,Walton and Sons,869969237253808,cclark@gmail.com,22.93,draught,2019-03-15
327,4.2,SUNSHINE REGGAE,"APA, light hoppy nectar flavour",FINE TUNED,Tran-Smith,5144642028625866,jennifer57@garcia.com,15.2,draught,2019-01-26
328,4.0,JAM,Pale amber infused with Mango and dry hopped with Citra,FIRST CHOP,Riley LLC,6011582766067285,martin17@cardenas.net,58.55,bottles or cans,2019-04-23
329,4.2,POD,Classic Vanilla oatmeal stout,FIRST CHOP,"Morrow, Bradley and Brown",4468908694424145,allendeborah@yahoo.com,81.66,draught,2019-03-07
330,4.6,RED,Rich spicy red ale with big hop flavours,FIRST CHOP,Preston Group,6011731656456674,mcdowellkelly@kerr-wilson.com,45.93,draught,2019-01-02
331,4.4,PALE ALE,West coast style pale ale,FIVE POINTS,Compton-Cook,379420967428643,andersonsean@gmail.com,23.28,bottles or cans,2019-04-22
332,4.8,RAILWAY PORTER,London style porter,FIVE POINTS,Casey and Sons,6011900262114247,ahenry@richardson.com,35.06,bottles or cans,2019-04-26
333,4.0,XPA,Extra pale ale,FIVE POINTS,Bell-Lambert,30203912561366,tammy18@yahoo.com,52.39,bottles or cans,2019-02-15
334,5.5,SMOKED CHILLI PORTER,"Tasty, rich chilli porter",FLASH HOUSE,"Ortiz, Evans and Green",180062935255648,emily16@hart.com,15.73,bottles or cans,2019-02-06
335,5.0,CHOCOLATE X ORANGE PORTER,Chocolate orange porter,FLASH HOUSE,"Edwards, Moore and Mitchell",5451082912189561,cchristian@yahoo.com,9.97,bottles or cans,2019-04-10
336,3.7,WAIMEA RIVER PALE,New Zealand hopped pale ale,FLASH HOUSE,Trevino and Sons,3528413849087160,amandabutler@anthony.com,55.29,bottles or cans,2019-03-30
337,6.5,CLIPPING IPA,"Golden IPA, gooseberry & bitter white wine hop flavours",FLIPSIDE,Houston-Brooks,6011789676881248,phunt@griffin-thomas.com,41.37,bottles or cans,2019-01-09
338,5.0,DUSTY PENNY,Porter with chocolate and caramel malt flavours,FLIPSIDE,Marshall PLC,6011490706970867,arubio@hotmail.com,22.61,bottles or cans,2019-03-02
339,5.8,EMPRESS RUPEE,"IPA with citrus, grapefruit, lemon & lime hop flavours",FLIPSIDE,Barnes and Sons,4907295563967639,daniellehamilton@moore.com,48.43,bottles or cans,2019-04-23
340,4.6,FLIPPING BEST,A dark brown traditional best bitter with gentle hop flavours,FLIPSIDE,Hartman Ltd,4451730081884668,john58@ross.com,92.78,bottles or cans,2019-04-12
341,4.3,FULL CROWN,Traditional ruby brown bitter with a crisp fruity hop flavour,FLIPSIDE,Juarez-Parker,4716882779995339,kimberly96@yahoo.com,20.04,draught,2019-04-13
342,4.2,GOLDEN SOVEREIGN,Refreshingly dry golden brew with cirus & grapefruit flavour,FLIPSIDE,Norman Group,4519551364529,rodrigueznathaniel@hotmail.com,4.16,bottles or cans,2019-03-31
343,7.3,RUSSIAN ROUBLE,"Strong, dark Russian imperial stout",FLIPSIDE,Arnold-Wade,30410275176456,webercharles@gmail.com,36.74,draught,2019-03-08
344,3.9,STERLING PALE,"Session  pale ale with a bitter, spicy hop flavour",FLIPSIDE,Lowery PLC,4105595335494659,krista75@lee.net,3.6,bottles or cans,2019-02-02
345,4.1,CITRA PILSNER,Distinctive Citra grapefruit backed by New Zealand Rakau hops,FOUR CANDLES,Carpenter-Sellers,4093398396063677,yatessamantha@gmail.com,37.38,bottles or cans,2019-02-07
346,3.8,GREEN HOP SESSION PALE,East Kent Goldings green hops picked & in copper within 4 hours,FOUR CANDLES,Smith Ltd,6011865639724590,patrick24@hotmail.com,70.97,bottles or cans,2019-04-03
347,3.8,PACIFIC SESSION PALE,New Zealand Pacific Jade with Rakau and Challenger hops,FOUR CANDLES,Gardner Ltd,675978903853,gbowen@graham.com,88.87,bottles or cans,2019-01-28
348,4.8,GATES BURTON ALE,"Amber ale, based on the original Ind Coope DBA recipe",GATES,Hall-Wilson,180074171767988,iwalker@yahoo.com,3.21,draught,2019-01-12
349,4.6,RESERVOIR,Amber ale with a finely balanced malt and hop character ,GATES,Wood-Rios,30341632160190,jeffreymccullough@jackson.com,76.91,draught,2019-05-02
350,4.4,JEMIMA'S PITCHFORK,Crisp pale brew with Chinook and Eldorado hops,GLAMORAN BREWING CO,Gillespie Inc,3158278044194484,sandra40@yahoo.com,55.17,bottles or cans,2019-03-14
351,4.8,WEST COAST RED,"US Red Ale, citrus hop nose, grapefruit, pine & juicy berries",GLAMORAN BREWING CO,Cruz Ltd,4142519962339370,david58@hotmail.com,95.72,draught,2019-03-16
352,4.4,TUCKERS NUTS,Malty beer brewed with Amber and Caravan malts,GLEDE,"Middleton, Garza and Peterson",869956475234517,joshua86@frey-ward.com,29.1,bottles or cans,2019-02-28
353,4.0,TUCKERS TIPPLE,Well balanced English bitter,GLEDE,"Pham, Mitchell and Walker",210075482781760,annette04@sanford.com,69.52,draught,2019-03-05
354,4.1,WESTON GRAND BIER,"Hazy, lazy summer wheat",GLEDE,"Ward, Gonzalez and Hernandez",869930264558535,gary42@gmail.com,34.97,draught,2019-04-18
355,5.4,AFGHAN,"American pale ale using Cascade, Citra and Simcoe hops",GREY TREES,"Casey, Mcguire and Hawkins",4165231165291984,carterroberto@moreno.com,85.67,draught,2019-01-09
356,4.0,BLACK ROAD ,Dark smooth & comforting with roasted flavours,GREY TREES,Smith-Scott,210093702640195,victor37@carson.net,14.13,draught,2019-04-20
357,3.9,CARADOGS,"Copper in colour, with a crisp flavour and a dry finish",GREY TREES,Hicks LLC,349243533965550,justin86@hotmail.com,25.05,draught,2019-01-19
358,4.2,MOSAIC  ,American single hopped pale,GREY TREES,"Huber, Martin and Carroll",180037300131095,andrewslaura@blackburn-lucero.com,90.65,bottles or cans,2019-04-28
359,4.3,FUZZY DUCK,English bitter with malty bite,GRIBBLE,"Miles, Dalton and Gibbs",30393778638026,bsimmons@jackson.net,43.62,bottles or cans,2019-01-04
360,4.8,LAZY BUZZARD,Light and refreshing golden ale,GRIBBLE,Cox-Black,4714580779223,ysantos@kelley-arnold.com,50.63,bottles or cans,2019-03-17
361,4.5,BLONDE AMBITION,Zesty blonde ale,GT ALES,Reed and Sons,30088032933813,bhall@osborne.info,14.46,bottles or cans,2019-02-28
362,4.7,CRIMSON RYE'D,"Six malt red rye ale, rounded fruity finish",GT ALES,"Beltran, Conner and Glover",3096625884877930,vwilcox@valenzuela.com,72.82,draught,2019-03-03
363,4.5,DARK HORSE ,Deep ruby ale with distinctive Blackcurrant aroma,GT ALES,"Bird, Guzman and Bell",5597351379011823,fordcollin@yahoo.com,18.77,bottles or cans,2019-03-11
364,4.3,NORTH COAST IPA,"American style IPA, Mango and Passion Fruit aroma",GT ALES,Wood LLC,6011815339535408,meganflores@gmail.com,5.21,draught,2019-01-26
365,4.7,CLWYDIAN BLACK,Welsh stout/porter,HAFOD,Chambers Ltd,3088227940832916,hsanders@yahoo.com,74.74,bottles or cans,2019-03-16
366,4.4,POWERHAUS,Hoppy refreshing pale ale,HAFOD,Wilkinson Group,869972089174395,jmyers@rodriguez.com,0.19,draught,2019-01-31
367,4.2,FARROW'S GOLD,"Golden premium ale, with an aromatic hoppy bite",HALF MOON,Roberts PLC,6011249113838954,ufreeman@hotmail.com,46.6,draught,2019-01-14
368,4.0,SPACE HOPPER,Blonde ale,HALF MOON,Martinez-Espinoza,4315738724503443,lewissusan@stevenson-curry.biz,50.92,bottles or cans,2019-04-20
369,4.4,GOLD,Refreshing golden ale from English Goldings hops.,HAL'S ALES,Owens and Sons,4135602493217759,paul12@gmail.com,24.61,draught,2019-03-18
370,4.6,NEW INN CHESTNUT,Deep red chestnut ale,HAL'S ALES,Thomas-Miller,4362671251580348,kathy80@hotmail.com,39.31,bottles or cans,2019-04-16
371,4.3,NEW INN ZEST,Citrus golden ale,HAL'S ALES,"Obrien, Walls and Fields",30329305846385,hdaniels@davis-mcdonald.com,78.36,bottles or cans,2019-02-12
372,4.1,N1,Session pale ale with a variety of fruity and aromatic hops,HAMMERTON,Davis-Lawrence,371995567939253,amberhull@jones.net,99.08,bottles or cans,2019-01-06
373,5.2,N7 ,Refreshing IPA with six different hops from the US and NZ,HAMMERTON,Smith-West,30054377818563,zthomas@hotmail.com,28.66,bottles or cans,2019-01-15
374,5.3,PENTONVILLE,"Oyster stout, brewed with fresh wild Maldon oysters ",HAMMERTON,Berg LLC,30526775103599,ylee@henry.org,19.61,draught,2019-01-24
375,5.2,OAT BAY PALE,"Pale ale, aromas from Indian Bay leaf, brewed with Irish oats",HANDYMAN,Miller and Sons,4008927464229176,davidconway@yahoo.com,68.94,draught,2019-03-28
376,4.8,HOPPY SAISON,"Farmhouse style saison has Citra, Simcoe & Mosaic hops",HANDYMAN,Daniels-Gonzales,210015514542939,kevinrodriguez@yahoo.com,79.15,draught,2019-02-20
377,4.3,PALE ALE,"Collab session pale ale, malty with USA hops",HANDYMAN V BLACKJACK,"Craig, Gutierrez and Newton",4338618784616504,lphelps@gmail.com,14.17,draught,2019-04-30
378,5.1,CROW BLACK,"Deeply flavoured liquorice porter, intense chocolate flavours",HATTIE BROWN,"Lamb, Gomez and Bailey",4053551722494,sandra39@pugh.com,8.77,draught,2019-02-24
379,6.0,DOG ON THE ROOF,Strong dark brown English ale,HATTIE BROWN,Griffin-Turner,869957373176388,christopher00@ballard.com,70.29,draught,2019-02-27
380,3.8,ELECTRIC MOUNTAIN,"Copper coloured, hopped with Czech and German hops",HEAVY INDUSTRY,Mathis-Duffy,6011561351015586,stewartcheryl@thompson.com,76.53,draught,2019-03-30
381,4.5,FREAK CHICK,"Red malty beer, earthy, spicy and zesty character",HEAVY INDUSTRY,Aguilar-Perkins,30356379342066,melissastewart@gmail.com,7.89,draught,2019-01-13
382,4.4,NELSON'S EYE,"Golden ale, using Nelson Sauvin hops for flavour",HEAVY INDUSTRY,Schmitt Group,4454547384672211,stacy13@brown.net,0.87,draught,2019-03-29
383,4.3,HOPTIMYSTIC,Copper coloured best bitter with a hoppy flavour & citrus aroma,HEMLOCK,"Andrews, Anderson and Smith",30288048755446,antoniojimenez@bates-wood.biz,19.56,bottles or cans,2019-03-27
384,4.1,HETTON HARVEST GOLD,Golden ale with combination of hops,HETTON LAW,"King, Davis and Cooper",6011738991848556,whitemicheal@jordan-pierce.com,79.43,bottles or cans,2019-01-14
385,4.0,HETTON HOWLER BITTER,Traditional bitter with rich malty taste,HETTON LAW,Powell-Mckee,4198742224981,msandoval@gmail.com,43.55,bottles or cans,2019-04-08
386,4.8,MATFEN MAGIC ,Classic traditional English brown ale,HIGH HOUSE FARM,Gutierrez-Ferguson,676171006064,laura24@yahoo.com,31.58,bottles or cans,2019-03-26
387,4.2,NEL'S BEST,Pale golden ale,HIGH HOUSE FARM,"Harris, Humphrey and Sellers",3088260558858998,fbeck@velasquez.net,98.42,draught,2019-02-20
388,4.3,CHARCOAL BURNER,Traditional oatmeal stout,HIGH WEALD,Pugh-Austin,5152341422260649,ocarlson@figueroa.info,97.13,draught,2019-01-22
389,3.8,CHRONICLE,Session ale brewed with English Fuggles and Goldings hops,HIGH WEALD,Payne LLC,6011399239124068,sydney38@hotmail.com,12.2,draught,2019-03-28
390,5.2,CITRA IPA,Single hopped IPA with Citra hops,HILDEN,Little Ltd,4846325475941671,awalker@hotmail.com,67.58,draught,2019-03-23
391,4.3,IRISH STOUT,Full bodied with pronounced dryness from roasted barley,HILDEN,Turner LLC,4241556911579854,jasonrobinson@osborne.info,96.59,bottles or cans,2019-04-03
392,4.7,RYE IPA,"Rich, malty base from the rye giving a warm amber hue",HILDEN,Walsh Inc,4458345434175,stewartpaul@sanchez.com,92.66,draught,2019-03-17
393,4.6,SCULLIONS'S IRISH ALE,"Bright amber ale, smooth with a slight taste of honey",HILDEN,Baxter and Sons,5564997484108869,yfernandez@merritt-york.com,8.47,bottles or cans,2019-04-12
394,4.7,TWISTED HOP,"Citrusy pale ale, well hopped",HILDEN,"Fuller, York and King",30281487605909,wdodson@yahoo.com,8.4,draught,2019-01-14
395,3.9,3C,"Amber Ale made from Columbus, Cascade and Chinook hops",HILLFIRE,"Riggs, Curry and Phillips",30129823588216,ryan26@johnson-white.biz,58.05,bottles or cans,2019-02-18
396,4.3,CALIFORNIA GOLD,Thirst quenching golden ale,HILLFIRE,Bruce-Nelson,4489277825533512,debbiepark@gonzalez.org,30.6,bottles or cans,2019-04-13
397,4.5,FOG CUTTER,Session IPA,HOLLER BOYS,Garner-Foster,6011044240000986,christopher76@miller.com,31.54,bottles or cans,2019-03-09
398,4.2,BRASS HAND,A golden ale,HOLLER BOYS,Davis-Page,676182532132,dereknelson@yahoo.com,86.9,bottles or cans,2019-01-09
399,8.6,PRECIOUS METAL,Golden Barley Wine ,HOP KETTLE (Cricklade),Alvarado-Robbins,561277962388,hcarey@rhodes.com,70.49,bottles or cans,2019-03-18
400,7.3,FLAPJACK BLACK,"Breakfast Stout, Coffee, Chocolate, Oats ",HOP KETTLE (Swindon),"James, Williams and Spears",676216805231,kristyjones@yahoo.com,57.66,draught,2019-01-10
401,4.1,LODE STAR,Pale ale brewed with 2 classic American hop varieties UK grown,HOP KETTLE (Swindon),Torres-Robinson,6011853334121056,johnturner@hotmail.com,49.95,draught,2019-03-09
402,5.2,RED STAR,Resinous American red ale ,HOP KETTLE (Swindon),"Hartman, Thomas and Short",3158821614822545,clarkmorgan@potts-rose.net,57.88,bottles or cans,2019-03-01
403,4.8,RISING STAR,Ultra fruity and hazy unfined Session IPA ,HOP KETTLE (Swindon),Jones Inc,180052410059128,rickymora@hotmail.com,53.96,draught,2019-01-31
404,4.3,MOSAIC,Big juicy pale ale with oats & mosaic hops. Pine & berries aroma,HOP STUDIO,"Cunningham, Rodriguez and Cook",3112893566402779,andersontheresa@moore.info,73.14,bottles or cans,2019-03-05
405,3.8,SOLSTICE,A India pale lager,HOP STUDIO,Mitchell Group,378758186278575,udavis@yahoo.com,98.62,bottles or cans,2019-04-02
406,3.8,A.P.A,American pale ale with five hop variants,HOP STUFF,Richmond-Brown,4634709291992305,tcopeland@barrera.org,58.82,draught,2019-03-18
407,4.3,FUSILIER,"Easy drinking amber, malty biscuity English bitter",HOP STUFF,"Fisher, Hall and Wilson",6011539742427637,hmoore@page.com,67.6,draught,2019-01-17
408,4.5,MJANGO UNCHAINED,English pale ale flavoured with Mango,HOP STUFF,Watkins LLC,3528682427114949,zstewart@gmail.com,12.15,draught,2019-02-13
409,4.3,KILLING JOKE,British Jester Hopped Pale Ale,HOPCRAFT,Mcintosh-Arellano,3158201445565987,daniel89@vaughn.com,89.42,bottles or cans,2019-01-05
410,4.0,RED MIST,US Hopped Red Ale,HOPCRAFT,"Wagner, Owens and Bishop",30114207203152,wendy24@moore.org,67.77,bottles or cans,2019-01-22
411,5.9,SPANISH MAIN,"Jamaican stout, muscavado sugar & pepper stout",HOPCRAFT,Roberts-White,3158572558729978,kdelgado@martinez-williams.net,59.75,draught,2019-03-07
412,4.7,ARLO,"American West Coast pale ale. Citra, Chinook and Cascade hops",HOPHURST,Watson LLC,180057805375534,fergusonlarry@gmail.com,32.41,bottles or cans,2019-03-03
413,4.5,ENVOLVE,English single hopped pale,HOPHURST,"Prince, Holt and Cain",4573324528258,wesley83@mcclure.biz,8.71,draught,2019-02-04
414,3.8,MELLORS,Blonde ale with delicate floral notes,HOPHURST,Howe-Chan,6011251017780910,michaelbrooks@carr.com,55.21,bottles or cans,2019-02-06
415,3.9,JFB - ERNEST,"A light & fresh pale ale with a dry, citrusy lemon finish.",HORBURY,"Faulkner, Ruiz and Jones",30453731034893,michaelpayne@yahoo.com,64.56,bottles or cans,2019-02-01
416,5.2,SUNDOWN,Powerful blend of citrus hops with lingering tropical fruit finish,HORBURY,Campbell-Wood,3158463166258032,sharper@gonzalez.com,14.07,bottles or cans,2019-03-18
417,4.3,TIRAMISU,Chocolate & Coffee Porter with a nutty bitter yet silky finish,HORBURY,Herrera-Mercer,3088356834695095,benjamin27@hotmail.com,87.19,draught,2019-03-10
418,4.6,HIPPY CHICK,Premium lager and pale malts and a big fruity floral hop hit,HYBRID,Fleming PLC,4488528678223,meganhill@williams.com,58.63,draught,2019-01-01
419,4.8,PINK SUNSHINE,Raspberry wheat beer,HYBRID,Pacheco-Garrett,869979969087357,vrivera@thomas.biz,58.08,draught,2019-04-06
420,4.7,STREET LEGAL,American pale with Mosiac hops and dry hopped with Simcoe,HYBRID,Morales-House,4881120847686914,nicholas84@andrews.com,9.98,draught,2019-04-06
421,4.0,AMBER,Pale -  marmalade on toast,INNER BAY,Lopez-Cruz,869993434381998,lisaarnold@herrera-miller.biz,39.75,draught,2019-03-24
422,4.8,CITRINE,Refreshing golden ale with a delicate citrus aroma,INNER BAY,"Mccarthy, Williams and Massey",4664467329701,williamsonjessica@hotmail.com,9.61,bottles or cans,2019-03-01
423,3.6,JASPER,Dark ale with complex flavours ,INNER BAY,"Franco, Jackson and Haynes",344576856413574,lauriedaniels@hotmail.com,98.26,draught,2019-05-02
424,4.0,AUTUMN GOLD,NA,JOLLY BOYS,Shaw-Evans,210089093624749,mitchellsarah@yahoo.com,7.76,bottles or cans,2019-04-26
425,5.0,JOLLY COLLIER,"Dark Yorkshire porter, robust flavour and smooth aftertaste",JOLLY BOYS,Ray LLC,6011792604391611,reginajackson@allen.org,42.85,draught,2019-04-30
426,3.9, GOLD,"Refreshing golden ale with citrus, fruit and herbal notes",JOLLY SAILOR,Hayes PLC,5487186311661480,sarah19@thomas.com,49.39,bottles or cans,2019-04-22
427,5.6,JOLLY INDIAN SUMMER,"India Pale Ale. Light amber colour hints of honey, citrus and spice",JOLLY SAILOR,Smith Group,6011548071409967,coxdiana@fuller-johnson.com,56.19,bottles or cans,2019-02-03
428,3.8,GRENVILLE'S RENOWN,Smooth English bitter,JOLLYBOAT,Burnett LLC,869978342535090,kimberly96@robinson.com,23.37,draught,2019-01-06
429,4.2,MAINBRACE,English brown ale ,JOLLYBOAT,Gonzalez-Cline,30056059371597,yorkluis@armstrong.biz,18.91,bottles or cans,2019-04-18
430,4.8,PLUNDER,Traditional malty English best bitter,JOLLYBOAT,"Kennedy, Malone and Baird",4171832405647513,maciasnatalie@yahoo.com,44.05,bottles or cans,2019-03-17
431,4.3,AXIOM,Fruity tropical golden ale,KEEP BREWING,Stewart-Hartman,343224651514178,ozimmerman@yahoo.com,62.14,bottles or cans,2019-02-23
432,4.2,DUNDAS,Copper coloured bitter with 100% US hops,KENNET AND AVON,Smith Ltd,4898375293313741,juliepeterson@robinson.com,10.57,bottles or cans,2019-01-17
433,4.7,SAVERNAKE STOUT,"Full bodied with aromas of licorice, roasted coffee, chocolate",KENNET AND AVON,Shaw-Hill,210063658476407,adam19@yahoo.com,69.11,bottles or cans,2019-01-06
434,4.5,CITRA,Citrus flavours and aromas from the single hop series,KENT BREWERY,Fuller-Jones,3112184444628235,qmontoya@hotmail.com,52.24,draught,2019-02-02
435,4.1,COBNUT,"Ruby Ale, generously hopped, dark and nutty",KENT BREWERY,"Cox, Camacho and Snyder",3096852855891167,victorlucas@rodriguez-hernandez.com,6.32,bottles or cans,2019-02-12
436,4.9,DARK HORSE ,"Stout, smooth, complex bitter stout enriched with liquorice",KENT BREWERY,"Whitaker, Higgins and Hanson",3528388960411136,jeremymartinez@gmail.com,34.95,draught,2019-04-29
437,6.0,GREEN GIANT IPA,A colossal amount of freshly harvested East Kent Goldings,KENT BREWERY,Rogers-Ayers,4823715026810358,mirandajill@foster.net,98.05,bottles or cans,2019-03-25
438,4.1,KGB,"Kent Golding Bitter, a taste of historic Kent",KENT BREWERY,"Arnold, Mason and Owens",180077906079892,jennifer45@dalton.net,37.15,draught,2019-03-01
439,4.8,PROHIBITION,"American Pale Ale, hopped with some of the new US varieties",KENT BREWERY,"Jones, Hickman and Brown",4979158289512043,peterdean@hotmail.com,3.9,draught,2019-04-20
440,4.8,THE NEW BLACK,"Black version of American Pale Ale, light & hoppy ",KENT BREWERY,"Johnston, Moore and Ellison",4422543782975,rachelmartinez@hotmail.com,24.32,draught,2019-03-01
441,4.1,ZINGIBER,American hops with ginger for a fruity and warming light beer,KENT BREWERY,Farmer Group,4911132610285893,jonesemily@gmail.com,90.3,bottles or cans,2019-01-25
442,4.2,STREAMLINE,Refreshing blonde ale brewed with lager malt,KETTLESMITH,Gill LLC,3337400324082692,nicholaswalker@yahoo.com,39.01,draught,2019-03-27
443,5.2,TIMELINE,"Hop driven, elegant IPA with US and UK hops",KETTLESMITH,"Anderson, Williams and Diaz",869925605482338,erin34@gmail.com,87.1,bottles or cans,2019-01-01
444,3.8,BOTANIC,"Sessionable amber ale, UK Cascade hops, infused with juniper",KEW,Bruce-Cook,4288316503652,djackson@hotmail.com,1.42,draught,2019-03-15
445,4.4,PAGODA PALE No1,"Pale, No.1 is brewed with the UK grown Chinook hop",KEW,Boyle PLC,30519742663092,frank17@castro-whitaker.net,73.81,bottles or cans,2019-04-05
446,4.7,BRICKS & PORTER,"Smoked porter, chocolate, coffee and a subtle smokiness ",KILN,Rodriguez-Gonzales,503813872309,jennifer77@hill.biz,51.37,bottles or cans,2019-03-30
447,3.8,SESSION AIPA,A session strenth IPA,KILN,"Stout, Collins and Ruiz",3112792900266058,hhuerta@stein-cox.com,29.0,draught,2019-03-30
448,3.8,5C,A golden session ale with punchy American hop,KINGS CLIFFE,"Fisher, Schwartz and Johnson",5375179922715014,larsonalison@vargas-brown.com,78.62,bottles or cans,2019-04-04
449,4.0,No10,Traditional dark malty English ale,KINGS CLIFFE,Mann PLC,4871151469392822,saunderslisa@melton-duke.com,12.32,bottles or cans,2019-04-10
450,5.1,P51,6 different malts giving a distinctive coffee/dark chocolate taste,KINGS CLIFFE,"Bates, Wilson and Brown",4169470039990,david94@yahoo.com,5.83,bottles or cans,2019-04-19
451,4.1,KINCARDINE SUNSET,Slightly citrusy & hoppy. Named after sunset over the River Forth,KINNEIL BREW HOOSE,"Brown, Lewis and Potts",6011397305318143,richardfrazier@yahoo.com,96.77,bottles or cans,2019-02-23
452,3.8,WAYFINDER,"Pale, refreshing using Saaz hops",KINNEIL BREW HOOSE,Foley-Byrd,4431981034237,david21@lopez.com,42.81,bottles or cans,2019-03-29
453,4.5,IRISH RED ALE,Irish Red Ale has a flavoursome jab on the palate!,KNOCKOUT,"Hall, Bullock and Miller",6011653481858454,jonessavannah@moran.com,36.04,bottles or cans,2019-02-01
454,4.2,TRISKAIDEKAPHOBIA,"Pale lager, hopped using lots of Mosaic, Galaxy and Topaz",KNOCKOUT,Wang LLC,5360957673551457,carolynbrown@brown.com,71.69,draught,2019-03-12
455,4.5,WHEAT  ,Irish wheat beer,KNOCKOUT,Hamilton Ltd,4294830523263405,jkoch@hotmail.com,48.55,bottles or cans,2019-01-10
456,6.0,EAST THE BEAST,"IPA, single malt with a mass of hops",LACADA,Chen-Lewis,4183104035472,dbrown@guzman-davis.com,2.94,bottles or cans,2019-01-25
457,5.7,SHORE,Seaweed stout,LACADA,Castillo Group,30004616261562,roberthubbard@gmail.com,13.94,draught,2019-03-04
458,4.6,WEST BAY,"Pale ale, dry hopped with Citra hops",LACADA,Wood-Smith,5412498950515913,tannersmith@allen.com,15.77,draught,2019-03-02
